filename,num_words,ttr,gawl,gfw,big,trig,bignofun,trignofun,pos
Bloody_Knuckles_Street_Boxing.txt,6,0.8333333333333334,5.166666666666667,sweet | streets | science | meets,the sweet | the streets | sweet science | science meets | meets the,the sweet science | sweet science meets | streets the sweet | science meets the | meets the streets,the sweet | the streets | sweet science | science meets | meets the,the sweet science | sweet science meets | streets the sweet | science meets the | meets the streets,NNP | DT
Broken_Edge.txt,44,0.9090909090909091,4.2727272727272725,warriors | vr | victory | valiant | untamed | sword | samurai | rnin | one | knight,you embody | where you | warriors in | vr fantasy | victory in | valiant knight | untamed rnin | to come | the arena | the 5,you embody iconic | where you embody | warriors in deadly | vr fantasy sword | victory in the | valiant knight an | untamed rnin or | the arena as | the 5 other | sword fighting game,warriors in | warriors deadly | vr fantasy | victory the | victory in | victory arena | valiant knight | untamed rnin | sword fighting | samurai valiant,you embody iconic | where game embody | warriors warriors deadly | vr fantasy sword | victory victory the | valiant knight an | untamed rnin or | the arena as | the 5 other | sword fighting game,NNP | NN | DT | JJ | IN | NNS | CD | VBP | WRB | VBZ
Celebrity_Kombat.txt,45,0.8888888888888888,4.777777777777778,unique | special | settle | score | roster | ready | prepare | personality | offers | made,your favorite | you ready | you a | with special | with a | unique chance | to settle | to fight | to battle | the score,your favorite personality | you ready to | you a unique | with special abilities | with a diverse | unique chance to | to settle the | to fight as | to battle are | special abilities prepare,with diverse | with a | unique chance | special abilities | settle the | settle score | roster of | roster characters | ready to | ready settle,your favorite personality | you ready to | you offers unique | with with diverse | with special abilities | unique chance to | to settle the | to fight as | to battle are | special abilities prepare,NN | JJ | IN | DT | TO | PRP | VBZ | VB | NNS | NNP
Clone_Drone_in_the_Danger_Zone.txt,38,0.8421052631578947,4.394736842105263,robot | zone | voxel | trials | survive | sliced | slice-em-up | sinister | part | must,a robot | zone is | your mind | your body | you must | with your | where any | voxel sliceemup | trials of | the sinister,zone is a | your mind downloaded | your body can | you must survive | with your mind | where any part | voxel sliceemup where | trials of the | the sinister trials | the danger zone,zone robot | zone is | zone a | with your | with mind | voxel sliceemup | trials the | trials of | trials arena | survive the,zone zone a | your mind downloaded | your body can | you must survive | with with mind | where sliceemup part | voxel sliceemup where | trials trials the | the sinister trials | the danger zone,NN | DT | IN | NNP | VB | PRP$ | MD | WRB | VBZ | VBN
Cyberpunk_SFX.txt,50,0.84,3.88,you値l | yes | way | want | sure | start | spectacular | solving | show | sense,you値l have | you want | yes she | with rockets | what can | want to | to start | to show | to make | the way,you値l have to | you want to | yes she is | with rockets and | what can be | way what can | want to make | to start solving | to show her | to make sure,you値l to | you値l show | you値l have | yes to | yes start | yes she | yes is | yes about | what spectacular | what more,you値l you値l to | you want to | yes yes is | with rockets and | what what be | way what can | want want make | to start solving | to show her | to make sure,NN | DT | JJ | IN | VB | TO | PRP | NNS | VBZ | VBP
DAVIGO_VR_vs_PC.txt,37,0.8378378378378378,4.1891891891891895,vr | pc | davigo | vs | small | play | physics-based | pass | online | matches,your friends | with davigo | vs pc | vr vs | vr or | the giant | small knight | play for | physicsbased battle | pc physicsbased,your friends in | with davigo knights | vs pc physicsbased | vr vs pc | vr or a | the giant in | small knight on | play for free | physicsbased battle game | pc physicsbased battle,vs pc | vr vs | vr small | vr or | vr a | small knight | play free | play for | physicsbased battle | pc physicsbased,your friends in | with davigo knights | vs pc physicsbased | vr vs pc | vr vr a | the giant in | small knight on | play play free | physicsbased battle game | pc physicsbased battle,NNP | JJ | IN | NN | DT | CC | NNS | VBZ | VB | PRP$
DEAD_OR_ALIVE_6.txt,27,1.0,5.814814814814815,truly | tecmo | stunning | stages | produced | multi-tiered | koei | graphics | games | game,truly entertaining | that create | tecmo games | stunning graphics | stages that | produced by | or alive | multitiered stages | koei tecmo | is fastpaced,truly entertaining competitive | that create a | tecmo games featuring | stunning graphics and | stages that create | produced by koei | or alive 6 | multitiered stages that | koei tecmo games | is fastpaced 3d,truly entertaining | tecmo games | stunning graphics | stages that | stages create | produced koei | produced by | or alive | multitiered stages | koei tecmo,truly entertaining competitive | that create a | tecmo games featuring | stunning graphics and | stages stages create | produced produced koei | or alive 6 | multitiered stages that | koei tecmo games | is fastpaced 3d,NNP | JJ | VBG | NNS | NN | CD | WDT | VBZ | VBP | VBN
Demon_Slayer_Kimetsu_no_Yaiba_The_Hinokami_Chronicles.txt,6,1.0,5.5,destroys | demons | blade | become,the blade | that destroys | destroys demons | blade that | become the,the blade that | that destroys demons | demons become the | blade that destroys | become the blade,destroys demons | blade that | blade destroys | become the | become blade,the blade that | that destroys demons | demons become the | blade blade destroys | become become blade,NNP | WDT | VBZ | VB | DT
DRAGON_BALL_Sparking_ZERO.txt,35,0.8571428571428571,5.085714285714285,dragon | ball | zero | whole | tenkaichi | takes | strongest | sparking | series | raises,of the | dragon ball | zero takes | yours the | whole new | to whole | to appear | the strongest | the legendary | the destructive,zero takes the | yours the destructive | whole new levels | to whole new | to appear in | the strongest fighters | the legendary gameplay | the destructive power | the budokai tenkaichi | tenkaichi series and,dragon ball | zero takes | whole new | tenkaichi series | takes the | takes legendary | strongest fighters | sparking zero | series raises | series and,zero takes the | yours make destructive | whole new levels | to whole new | to appear in | the strongest fighters | the legendary gameplay | the destructive power | the budokai tenkaichi | tenkaichi series and,NNP | DT | VBZ | NN | JJ | IN | VB | TO | NNS | VBP
Dragon_Fist_VR_Kung_Fu.txt,41,0.9512195121951219,5.2926829268292686,vr | style | single-player | pvp | play | physics-based | pays | others | mode | martial,with highfidelity | with friends | vr kung | to the | the golden | that pays | style that | singleplayer adventures | pvp battles | play with,with highfidelity physicsbased | with friends in | vr kung fu | to the golden | the golden era | that pays homage | style that pays | pvp battles or | play with friends | physicsbased combat and,vr kung | style that | style pays | singleplayer adventures | pvp battles | play with | play friends | physicsbased combat | pays homage | others pvp,with highfidelity physicsbased | with friends in | vr kung fu | to homage golden | the golden era | that pays homage | style style pays | pvp battles or | play play friends | physicsbased combat and,NN | JJ | NNS | NNP | IN | DT | CC | WDT | VBZ | VBP
Drunken_Fist__Totally_Accurate_Beat_em_up.txt,32,0.90625,5.28125,drunken | ｯ\_()_/ｯ | wishlist | urinate | physics-based | look | lawlessness | game | funny | fun,ｯｯ add | your wishlist | your enemies | urinate on | up game | to your | to urinate | the asphaltor | physicsbased beatem | on your,ｯｯ add to | your enemies ｯｯ | wishlist funny drunken | urinate on the | up game drunken | to your wishlist | to urinate on | the asphaltor on | physicsbased beatem up | on your enemies,ｯｯ add | your wishlist | urinate the | urinate on | urinate asphaltor | physicsbased beatem | look for | look food | lawlessness more | lawlessness fun,ｯｯ add to | your enemies ｯｯ | wishlist funny drunken | urinate urinate the | up game drunken | to your wishlist | to urinate on | the asphaltor on | physicsbased beatem up | on urinate asphaltor,NNP | NN | IN | VBZ | VB | TO | JJ | CC | VBP | RP
Drunken_Wrestlers_2.txt,23,0.9565217391304348,6.3478260869565215,wrestlers | workshop | steam | powerful | physics-based | multiplayer | mod | integrated | include | game,wrestlers 2 | with steam | steam workshop | powerful mod | physicsbased multiplayer | multiplayer fighting | mod editor | is a | integrated with | include character,wrestlers 2 is | workshop drunken wrestlers | with steam workshop | powerful mod editor | physicsbased multiplayer fighting | multiplayer fighting game | mod editor integrated | is a funny | integrated with steam | include character customization,wrestlers 2 | steam workshop | powerful mod | physicsbased multiplayer | multiplayer fighting | mod editor | integrated with | integrated steam | include character | game features,wrestlers 2 is | workshop drunken wrestlers | with steam workshop | powerful mod editor | physicsbased multiplayer fighting | multiplayer fighting game | mod editor integrated | is 2 funny | integrated integrated steam | include character customization,NNP | NN | JJ | DT | VBZ | VBP | VBN | VBG | IN | CD
FAIRY_TAIL_2.txt,10,1.0,3.9,tail | final | fairy | begin | battle,to begin | the final | tail is | of fairy | is about | final battle | fairy tail | battle of | about to,the final battle | tail is about | of fairy tail | is about to | final battle of | fairy tail is | begin the final | battle of fairy | about to begin,the final | tail to | tail is | tail begin | tail about | final battle | fairy tail | battle of | battle fairy,the final battle | tail tail about | of fairy tail | is tail to | final battle of | fairy tail is | begin the final | battle battle fairy | about tail begin,NNP | IN | VBZ | VB | TO | NN | JJ | DT
Fighting_Robots.txt,27,0.8888888888888888,4.592592592592593,search | robots | robot88 | opponent | online | locally | friends | fight | epic | death,with your | your friends | your created | to the | the epic | the death | search for | robot88 with | other robots | or search,your friends locally | your created blows | with your friends | with your created | to the death | the epic battle | the death with | search for an | robots fight to | robot88 with your,search opponent | search for | search an | robot88 your | robot88 with | robot88 created | opponent online | online among | locally the | locally in,your friends locally | your created blows | with robot88 created | with death friends | to fight death | the epic battle | the death with | search search an | robots fight to | robot88 robot88 your,IN | NN | JJ | NNS | DT | PRP$ | TO | RB | NNP | CC
Fight_Angel_Special_Edition.txt,38,0.8421052631578947,5.605263157894737,fight | angel | systems | special | realistic | physical | partner | movements | make | let's,fight angel | your partner | with your | with physical | with great | this is | the girl | the challenger | that make | systems lets,your partner this | with your partner | with physical effects | with great customization | this is a | the girl fighting | the challenger with | that make realistic | systems lets fight | special edition of,fight angel | this special | this is | this a | systems lets | special edition | realistic boobs | physical effects | partner this | movements clothing,your partner this | with physical effects | with great customization | with challenger partner | this this a | the girl fighting | the challenger with | that make realistic | systems lets fight | special edition of,NN | NNP | NNS | JJ | IN | DT | VBZ | WDT | VBP | VBG
FINAL_FANTASY_XVI.txt,46,0.9130434782608695,4.521739130434782,dark | wield | warrior | wake | tragic | tale | swears | rosfield | revenge | naught,wield them | who wield | who swears | where fates | warrior who | tragic warrior | this is | them this | the tale | the dominants,wield them this | who wield them | who swears revenge | where fates are | warrior who swears | wake an epic | tragic warrior who | this is the | them this is | the tale of,wield this | wield them | warrior who | warrior swears | tragic warrior | this the | this tale | this is | tale of | tale clive,wield wield this | who wield them | who swears revenge | where fates are | warrior warrior swears | wake an epic | tragic warrior who | this this the | them this is | the tale of,NN | DT | NNP | IN | VBZ | NNS | JJ | WP | VBP | CC
Firelight_Fantasy_Phoenix_Crew.txt,15,1.0,6.6,third-person | sword | spectacular | scandinavian | phoenix | mythology | game | firelight | fighting | fantasy,thirdperson sword | sword fighting | spectacular thirdperson | scandinavian mythology | phoenix crew | on scandinavian | is a | game based | firelight fantasy | fighting game,thirdperson sword fighting | sword fighting game | spectacular thirdperson sword | phoenix crew is | on scandinavian mythology | mythology firelight fantasy | is a spectacular | game based on | firelight fantasy phoenix | fighting game based,thirdperson sword | sword fighting | spectacular thirdperson | scandinavian mythology | phoenix crew | game based | firelight fantasy | fighting game | fantasy phoenix | crew spectacular,thirdperson sword fighting | sword fighting game | spectacular thirdperson sword | phoenix crew is | on scandinavian mythology | mythology firelight fantasy | is crew spectacular | game based on | firelight fantasy phoenix | fighting game based,NNP | NN | JJ | VBZ | VBN | VBG | IN | DT
Firelight_Fantasy_Vengeance.txt,14,1.0,5.571428571428571,vengeance | third | sword | spectacular | person | game | firelight | fantasy | battles | ,vengeance  | third person | the third | sword battles | spectacular sword | game about | from the | firelight fantasy | fantasy vengeance | battles from,vengeance  a | the third person | sword battles from | spectacular sword battles | person firelight fantasy | game about spectacular | from the third | firelight fantasy vengeance | fantasy vengeance  | battles from the,vengeance  | third person | sword battles | spectacular sword | game spectacular | game about | firelight fantasy | fantasy vengeance | battles third | battles the,vengeance  a | the third person | sword battles from | spectacular sword battles | person firelight fantasy | game game spectacular | from battles third | firelight fantasy vengeance | fantasy vengeance  | battles battles the,NNP | NN | JJ | IN | DT | NNS | :
Freestyle_2_Street_Basketball.txt,46,0.8260869565217391,4.826086956521739,street | online | player | basketball | variety | use | unique | top | team | rise,your player | your own | with the | variety of | use variety | up with | unique player | to the | the top | the online,your player team | your own unique | with the best | variety of bball | use variety of | up with the | unique player and | top freestyle 2 | to the top | the online street,variety of | variety bball | use variety | unique player | team with | team up | team the | team best | street league | street basketball,your player team | your create unique | with team best | variety variety bball | use variety of | up team the | unique player and | top freestyle 2 | to rise top | the online street,NN | JJ | NNP | DT | NNS | IN | CC | VBP | RB | PRP$
Gang_Beasts.txt,28,1.0,5.535714285714286,surly | streets | slapstick | silly | set | sequences | party | multiplayer | mean | hazardous,with surly | the mean | surly gelatinous | streets of | slapstick fight | silly multiplayer | set in | sequences and | party game | of beef,with surly gelatinous | the mean streets | surly gelatinous characters | streets of beef | slapstick fight sequences | silly multiplayer party | set in the | sequences and absurd | party game with | of beef city,surly gelatinous | streets of | streets beef | slapstick fight | silly multiplayer | set the | set mean | set in | sequences and | sequences absurd,with surly gelatinous | the mean streets | surly gelatinous characters | streets streets beef | slapstick fight sequences | silly multiplayer party | set set the | sequences sequences absurd | party game with | of beef city,JJ | NNS | NNP | NN | IN | DT | VBZ | VBP | VBN | RB
GigaBash.txt,23,1.0,5.608695652173913,ultimate | players | kaijus | kaiju | heroes | gigabash | giant | game | fully | film-inspired,you battle | where you | ultimate kaiju | the ultimate | players where | kaijus and | kaiju fighting | is the | in fully | heroes in,you battle as | where you battle | ultimate kaiju fighting | the ultimate kaiju | players where you | kaijus and giant | kaiju fighting game | is the ultimate | in fully destructible | heroes in fully,ultimate kaiju | players you | players where | players battle | kaijus giant | kaijus and | kaiju fighting | heroes in | heroes fully | gigabash ultimate,you battle as | where players battle | ultimate kaiju fighting | the ultimate kaiju | players players you | kaijus kaijus giant | kaiju fighting game | is gigabash ultimate | in fully destructible | heroes heroes fully,NNP | JJ | IN | NNS | WRB | VBZ | RB | PRP | NN | DT
GORN.txt,19,1.0,5.315789473684211,vr | violent | simulator | made | ludicrously | lives | jousting | gorn | gladiator | genital,vr gladiator | violent vr | the developers | simulator made | of broforce | made by | ludicrously violent | lives the | is a | gorn is,vr gladiator simulator | violent vr gladiator | the developers of | simulator made by | of broforce and | made by free | ludicrously violent vr | lives the developers | jousting gorn is | is a ludicrously,vr gladiator | violent vr | simulator made | made free | made by | ludicrously violent | lives the | lives developers | gorn ludicrously | gorn is,vr gladiator simulator | violent vr gladiator | the developers of | simulator made by | of broforce and | made made free | ludicrously violent vr | lives lives developers | jousting gorn is | is gorn ludicrously,NNP | VBZ | NN | JJ | IN | DT | VBN | RB | NNS | CC
Gym_Simulator_24.txt,37,0.8648648648648649,4.891891891891892,fitness | simulator | gym | empire | 24 | ultimate | simulation | ranks | journey | game,simulator 24 | gym simulator | fitness empire | your very | your fitness | your dream | youll ascend | where youll | very own | ultimate simulation,gym simulator 24 | your very own | your fitness empire | your dream fitness | youll ascend the | where youll ascend | very own fitness | ultimate simulation game | to create your | the ultimate simulation,simulator 24 | gym simulator | fitness empire | your fitness | ultimate simulation | simulation game | ranks craft | ranks and | journey to | journey create,gym simulator 24 | your fitness empire | your dream fitness | your craft own | youll ascend the | where game ascend | very craft fitness | ultimate simulation game | to create your | the ultimate simulation,NNP | NN | VB | DT | PRP$ | JJ | IN | CD | WRB | TO
Hellish_Quart.txt,40,0.875,6.1,sword-fighting | weapons | variety | utilizing | survive | single-player | realistic | real | poland | physics-based,and a | yourself in | weapons to | variety of | utilizing real | to survive | swordfighting martial | swordfighting game | survive brutal | singleplayer modes,yourself in a | weapons to survive | variety of historically | utilizing real swordfighting | to survive brutal | swordfighting martial arts | swordfighting game immerse | survive brutal duels | singleplayer modes and | realistic 3d swordfighting,weapons to | weapons survive | variety of | variety historically | utilizing real | swordfighting martial | swordfighting game | survive brutal | singleplayer modes | realistic 3d,yourself immerse a | weapons weapons survive | variety variety historically | utilizing real swordfighting | to survive brutal | swordfighting martial arts | swordfighting game immerse | survive brutal duels | singleplayer modes and | realistic 3d swordfighting,JJ | NN | NNS | NNP | DT | IN | CD | CC | VBG | VB
Honkai_Impact_3rd.txt,36,1.0,6.055555555555555,action | voice | ultimate | told | tale | star-studded | stage | real-time | real | part,voice cast | ultimate anime | told across | the legend | tale told | starstudded voice | stage events | realtime action | real hd | part of,voice cast become | ultimate anime action | told across media | tale told across | starstudded voice cast | stage events starstudded | realtime action an | real hd celshading | part of the | original tale told,voice cast | ultimate anime | told across | tale told | starstudded voice | stage events | realtime action | real hd | part the | part of,voice cast become | ultimate anime action | told across media | tale told across | starstudded voice cast | stage events starstudded | realtime action an | real hd celshading | part part the | original tale told,NN | JJ | NNP | NNS | IN | VBD | DT | CD | :
JoJos_Bizarre_Adventure_AllStar_Battle_R.txt,37,0.9459459459459459,5.027027027027027,face | characters | wielding | story | stands | see | never | meet | masterpiece | life,with 50 | wielding stands | who could | when they | to life | to face | they come | the story | story interact | stands hamon,with 50 colorful | wielding stands hamon | who could never | when they come | to life as | they come face | the story interact | story interact when | stands hamon and | see how characters,wielding stands | story interact | stands hamon | see how | see characters | never meet | more see | meet the | meet story | meet in,with 50 colorful | wielding stands hamon | who could never | when interact come | to life as | they come face | the story interact | story interact when | stands hamon and | see see characters,NNP | VB | NN | IN | WRB | VBP | VBG | TO | RB | NNS
Jujutsu_Kaisen_Cursed_Clash.txt,27,0.8888888888888888,5.185185185185185,jujutsu | world | spirits | sorcerers | master | kaisen | game | friend | fighting | favorite,your favorite | world of | this actionpacked | the world | the jujutsu | spirits bring | sorcerers and | of your | of jujutsu | master the,your favorite sorcerers | world of jujutsu | this actionpacked 2on2 | the world of | the jujutsu of | spirits bring a | sorcerers and cursed | of your favorite | of jujutsu kaisen | master the jujutsu,world of | world jujutsu | spirits bring | sorcerers cursed | sorcerers and | master the | master jujutsu | kaisen this | kaisen in | kaisen actionpacked,your favorite sorcerers | world world jujutsu | this actionpacked 2on2 | the world of | the jujutsu of | spirits bring a | sorcerers sorcerers cursed | of jujutsu kaisen | of jujutsu favorite | master master jujutsu,NNP | NN | IN | DT | JJ | CC | VBD | PRP$ | NNPS
Karateka.txt,31,0.967741935483871,5.838709677419355,tin | steam | side-scrolling | prince | persia | original | music | mechner | matsuda | karate,with art | to steam | tin civilization | the original | the batman | steam with | sidescrolling karate | prince of | persia creator | original sidescrolling,with art by | to steam with | tin civilization iv | the original sidescrolling | the batman and | steam with art | sidescrolling karate classic | prince of persia | persia creator jordan | original sidescrolling karate,tin civilization | the batman | steam with | steam art | sidescrolling karate | prince of | persia creator | original sidescrolling | of persia | music grammywinning,with art by | to steam with | tin civilization iv | the original sidescrolling | the batman and | steam steam art | sidescrolling karate classic | prince of persia | persia creator jordan | original sidescrolling karate,NNP | NN | IN | JJ | VBZ | VB | TO | DT | CC
KnockEm_Out.txt,34,0.7058823529411765,3.9411764705882355,fight | lose | wound | whole | scratch | let's | legs | headbutt | flesh | body,you lose | if you | fight fight | your whole | your legs | wound if | with your | whole body | them lets | the other,if you lose | your whole body | your legs headbutt | you lose your | you lose the | you lose an | wound if you | with your whole | whole body if | them lets fight,if you | if lose | fight fight | wound if | whole body | scratch if | lose your | lose the | lose other | lose legs,if if lose | your whole body | your legs headbutt | you lose your | you lose the | you lose an | wound if you | with fight whole | whole body if | them lets fight,NN | NNP | VBP | PRP | IN | DT | PRP$ | JJ | RB | NNS
Lugaru_HD.txt,52,0.8076923076923077,5.423076923076923,rabbit | combat | wolves | village | uncover | turner | streamlined | slaughtering | skills | responsible,of the | wolves of | with impressive | village uncover | uncover a | turner a | to find | those responsible | the wolves | the rabbit,wolves of the | with impressive combat | village uncover a | uncover a farreaching | turner a rebel | to find those | those responsible for | the wolves of | the rabbit republic | the nearby lands,wolves the | wolves of | wolves nearby | village uncover | uncover farreaching | uncover a | turner rebel | turner a | streamlined combat | slaughtering village,wolves wolves the | with impressive combat | village uncover a | uncover uncover farreaching | turner turner rebel | to find those | those responsible for | the wolves of | the rabbit republic | the nearby lands,NN | DT | JJ | IN | NNS | NNP | VBG | PRP$ | CC | VBP
Mad_Streets.txt,44,0.9318181818181818,4.840909090909091,yet | wild | town | throughout | streets | players | player | physics | party | online,yet comical | with an | wild physics | who is | where players | to determine | throughout a | the baddest | streets is | players battle,yet comical fist | with an emphasis | wild physics driven | who is the | where players battle | town mad streets | to determine who | throughout a multitude | the baddest player | streets is a,yet comical | wild physics | throughout multitude | throughout a | streets is | streets hilarious | streets a | players battle | player town | player in,yet comical fist | with game emphasis | wild physics driven | who determine the | where players battle | town mad streets | to determine who | throughout throughout multitude | the baddest player | streets streets a,NN | JJ | IN | DT | NNS | VBZ | RB | NNP | WRB | WP
